"" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"2170" "YMR219W" 6.70339901479783e-09 2.0209049011432e-08 0.470255215710281 33.6190214684255
"2171" "YKR068C" 7.01011391830154e-09 2.11239821527078e-08 0.554771679502943 33.5319994415953
"2172" "YDR166C" 7.17970238264111e-09 2.16250520199071e-08 0.521464018105041 33.4855063712943
"2173" "YLR181C" 7.35279453341821e-09 2.21362088530244e-08 0.562956982505557 33.4391734238865
"2174" "YBR078W" 7.44116223951024e-09 2.2391942672896e-08 -0.546174074170365 33.4159388442062
"2175" "YBR272C" 7.45903982206448e-09 2.24354200073314e-08 0.566313604442856 33.4112719010825
"2176" "YBR066C" 7.56290692396908e-09 2.27373791804254e-08 0.785629902260489 33.3843770589209
"2177" "YLR190W" 7.61327991496186e-09 2.28783083158845e-08 0.50026459962818 33.3714666452721
"2178" "snR30" 7.74575635345113e-09 2.32657199560502e-08 -1.35211300611451 33.3379175358973
"2179" "YER014W" 8.32699049190074e-09 2.50000788425951e-08 0.758095248936106 33.1972104109471
"2180" "YIL173W" 8.50200982444279e-09 2.55138294823416e-08 -0.657578240179378 33.1567642020524
"2181" "YDR131C" 9.02396637836814e-09 2.70677615989383e-08 0.768723463515824 33.040916352692
"2182" "YLR263W" 9.08695770930293e-09 2.72442150936112e-08 0.770044617380749 33.0273916777739
"2183" "YLR056W" 9.20363862067198e-09 2.75814035073001e-08 -0.470284527794847 33.0025857160717
"2184" "YPL249C" 9.35327237034917e-09 2.80169907723554e-08 0.586707683585118 32.9712310833747
"2185" "YBL106C" 9.76018360536969e-09 2.92224810738346e-08 0.553335174525478 32.8884417194866
"2186" "YKL143W" 9.96252972978757e-09 2.98146703990257e-08 -0.573618891261732 32.8485511349403
"2187" "YDR210C-D" 9.97368561157024e-09 2.9834408445767e-08 -0.632577994975885 32.8463755263366
"2188" "YOR198C" 9.98780745041106e-09 2.98629964993552e-08 -0.458129626411644 32.8436249926453
"2189" "YLR247C" 1.0386536600834e-08 3.1040987867819e-08 0.484166327077814 32.7675302642894
"2190" "YDR045C" 1.07965002734444e-08 3.22514633739147e-08 -1.29819790252733 32.6922832298791
"2191" "YKL061W" 1.09094745339355e-08 3.25740677320887e-08 1.14467254159088 32.6720500007569
"2192" "YDL067C" 1.09659893043898e-08 3.27278750133751e-08 0.921132746989118 32.662007049685
"2193" "YOR041C" 1.09816250877601e-08 3.27595947670435e-08 1.0311509921565 32.659237648964
"2194" "YGR267C" 1.11618636779846e-08 3.32820930635255e-08 -0.450823929740189 32.6275960366918
"2195" "YLR450W" 1.12335738194555e-08 3.34806560031335e-08 0.578795781408898 32.6151491156706
"2196" "YIR028W" 1.12994260677517e-08 3.36615871289763e-08 1.17743236440549 32.6037888626775
"2197" "YDL144C" 1.13915918002801e-08 3.3920707126733e-08 0.552382931326037 32.5880000956196
"2198" "YKR102W" 1.14491519432434e-08 3.40765932723834e-08 1.17867395742258 32.5782043319494
"2199" "YHR184W" 1.16219083436139e-08 3.45750451950532e-08 1.28508754715832 32.5490975957862
"2200" "YDR301W" 1.21066781683491e-08 3.60008584442455e-08 -0.532462440282283 32.4696787649127
"2201" "YLR248W" 1.21403684354826e-08 3.60846389390855e-08 0.518831552868793 32.46427831432
"2202" "YDL054C" 1.25388442893676e-08 3.7252097793389e-08 0.462877588945817 32.4015186973775
"2203" "YLR076C" 1.27962487490528e-08 3.7999572998776e-08 -0.739341289903335 32.3620309935596
"2204" "YLL029W" 1.29761161530038e-08 3.85162213579633e-08 0.456722234834737 32.3349074414826
"2205" "YLR265C" 1.3031977123241e-08 3.86644872291351e-08 0.991363789157275 32.3265603433875
"2206" "YKL082C" 1.32224911483592e-08 3.92119388452247e-08 -0.534658887888602 32.2983596617668
"2207" "YHR046C" 1.32316823626792e-08 3.9221416409899e-08 -0.815703058536394 32.2970094508866
"2208" "YOR208W" 1.3397228565135e-08 3.96941436925332e-08 0.780191522346148 32.2728498549882
"2209" "YIR003W" 1.35484216319777e-08 4.01239358607505e-08 0.49748738864473 32.2510447763967
"2210" "YOR255W" 1.37044135565768e-08 4.05675445643101e-08 4.51086766422812 32.2288015883371
"2211" "YGL237C" 1.37225641175706e-08 4.06029011565566e-08 0.73737903968472 32.2262299523059
"2212" "YLR001C" 1.38996008031031e-08 4.11081322124325e-08 0.476847312458351 32.2013239613367
"2213" "YMR026C" 1.42758849146943e-08 4.22019155499005e-08 0.548048969429578 32.1494262061508
